client_ID,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,gender,marital_status,education_level,country,state,city,city_latitude,city_longitude,employment_type,loan_term_months,loan_to_income_ratio,other_debt,debt_to_income_ratio,open_accounts,credit_utilization_ratio,past_delinquencies
CUST_00015,23,115000,RENT,2,EDUCATION,A,35000,7.9,0,0.3,N,4,Male,Single,High School,USA,California,San Francisco,37.7749,-122.4194,Self-employed,36,0.304347826,23157.14946,0.505714343,5,0.195250507,0
CUST_00016,23,500000,MORTGAGE,7,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,Female,Married,Bachelor,USA,Texas,Dallas,32.7767,-96.797,Full-time,12,0.06,83241.0251,0.22648205,9,0.080297671,1
CUST_00017,23,120000,RENT,0,EDUCATION,A,35000,7.9,0,0.29,N,4,Male,Divorced,High School,USA,New York,New York City,40.7128,-74.006,Full-time,60,0.291666667,14264.43764,0.41053698,10,0.362355336,0
CUST_00018,23,92111,RENT,7,MEDICAL,F,35000,20.25,1,0.32,N,4,Female,Married,Bachelor,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,36,0.379976333,21845.17042,0.617137697,8,0.301289952,0
CUST_00019,23,113000,RENT,8,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,Male,Married,Bachelor,USA,California,Los Angeles,34.0522,-118.2437,Full-time,36,0.309734513,5971.362009,0.362578425,11,0.880439039,1
CUST_00020,24,10800,MORTGAGE,8,EDUCATION,B,1750,10.99,1,0.16,N,2,Male,Single,High School,UK,Wales,Swansea,51.6214,-3.9436,Unemployed,12,0.162037037,1517.058751,0.30250544,10,0.542164139,0
CUST_00021,25,162500,RENT,2,VENTURE,A,35000,7.49,0,0.22,N,4,Male,Divorced,Bachelor,Canada,BC,Victoria,48.4284,-123.3656,Self-employed,24,0.215384615,17757.118,0.324659188,10,0.860019111,2
CUST_00022,25,137000,RENT,9,PERSONAL,E,34800,16.77,0,0.25,Y,2,Female,Single,Bachelor,Canada,BC,Vancouver,49.2827,-123.1207,Full-time,60,0.254014599,18184.53912,0.386748461,13,0.598711746,0
CUST_00023,22,65000,RENT,4,EDUCATION,D,34000,17.58,1,0.52,N,4,Male,Single,Bachelor,UK,Scotland,Edinburgh,55.9533,-3.1883,Full-time,60,0.523076923,13008.72815,0.723211202,14,0.688546595,1
CUST_00024,24,10980,OWN,0,PERSONAL,A,1500,7.29,0,0.14,N,3,Female,Married,Bachelor,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,36,0.136612022,2916.701807,0.402249709,8,0.226736176,0
CUST_00025,22,80000,RENT,3,PERSONAL,D,33950,14.54,1,0.42,Y,4,Female,Married,Bachelor,USA,Texas,Houston,29.7604,-95.3698,Unemployed,36,0.424375,12357.35731,0.578841966,9,0.16261933,1
CUST_00026,24,67746,RENT,8,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,Male,Single,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Self-employed,60,0.48711363,10275.66867,0.638792972,4,0.160413062,0
CUST_00027,21,11000,MORTGAGE,3,VENTURE,E,4575,17.74,1,0.42,Y,3,Female,Single,Bachelor,Canada,Ontario,Toronto,43.6532,-79.3832,Full-time,36,0.415909091,2129.21693,0.609474266,14,0.814659646,0
CUST_00028,23,11000,OWN,0,PERSONAL,A,1400,9.32,0,0.13,N,3,Female,Single,High School,USA,California,San Francisco,37.7749,-122.4194,Full-time,36,0.127272727,1089.418699,0.226310791,9,0.80367852,1
CUST_00029,24,65000,RENT,6,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,Female,Single,High School,UK,Scotland,Edinburgh,55.9533,-3.1883,Full-time,24,0.5,6983.784375,0.607442837,14,0.946974749,0
CUST_00030,21,11389,OTHER,5,EDUCATION,C,4000,12.84,1,0.35,Y,2,Male,Widowed,High School,UK,Wales,Swansea,51.6214,-3.9436,Part-time,24,0.351216086,1945.330055,0.522023888,5,0.751612677,0
CUST_00031,21,11520,OWN,5,MEDICAL,B,2000,11.12,1,0.17,N,3,Male,Single,Master,USA,California,Los Angeles,34.0522,-118.2437,Part-time,36,0.173611111,1827.634738,0.33225996,4,0.326142648,0
CUST_00032,25,120000,RENT,2,VENTURE,A,32000,6.62,0,0.27,N,2,Male,Married,High School,UK,England,Manchester,53.4808,-2.2426,Part-time,60,0.266666667,11274.35788,0.360619649,1,0.63235907,0
CUST_00033,26,95000,RENT,7,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,Male,Single,Bachelor,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,24,0.326842105,11548.38464,0.448404049,3,0.729054904,1
CUST_00034,25,306000,RENT,2,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,Female,Single,High School,UK,England,London,51.5074,-0.1278,Part-time,36,0.079248366,80018.58415,0.340747007,9,0.700633005,0
CUST_00035,26,300000,MORTGAGE,10,MEDICAL,C,7800,13.49,0,0.03,N,4,Male,Married,High School,UK,Scotland,Glasgow,55.8642,-4.2518,Self-employed,36,0.026,57353.14644,0.217177155,9,0.79348227,0
CUST_00036,21,12000,OWN,5,EDUCATION,A,2500,7.51,1,0.21,N,4,Female,Single,High School,USA,New York,Buffalo,42.8864,-78.8784,Full-time,60,0.208333333,957.7560358,0.288146336,11,0.676123897,1
CUST_00037,22,48000,RENT,1,EDUCATION,E,30000,18.39,1,0.63,N,2,Male,Single,Bachelor,Canada,Quebec,Montreal,45.5017,-73.5673,Self-employed,60,0.625,13531.14492,0.906898852,7,0.08604346,1
CUST_00038,24,64000,RENT,8,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,Female,Divorced,High School,Canada,Ontario,Ottawa,45.4215,-75.6972,Part-time,60,0.46875,18066.19512,0.751034299,1,0.756789538,1
CUST_00039,25,75000,RENT,4,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,Female,Single,High School,USA,Texas,Dallas,32.7767,-96.797,Unemployed,36,0.4,12013.3434,0.560177912,4,0.818621263,1
CUST_00040,23,71500,RENT,3,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4,Male,Married,High School,USA,New York,Buffalo,42.8864,-78.8784,Self-employed,60,0.41958042,10969.32042,0.572997488,3,0.633211986,1
CUST_00041,26,62050,RENT,6,MEDICAL,E,30000,17.99,1,0.41,N,2,Female,Single,Bachelor,Canada,Quebec,Montreal,45.5017,-73.5673,Full-time,36,0.483481064,14168.08856,0.711814481,10,0.737139237,0
CUST_00042,24,12000,OWN,4,VENTURE,B,2500,12.69,1,0.21,N,3,Male,Married,Bachelor,Canada,Ontario,Ottawa,45.4215,-75.6972,Part-time,36,0.208333333,3439.120914,0.494926743,15,0.472810619,1
CUST_00043,26,300000,MORTGAGE,10,VENTURE,A,20000,7.88,0,0.07,N,4,Female,Single,High School,USA,California,San Francisco,37.7749,-122.4194,Full-time,24,0.066666667,76506.53569,0.321688452,8,0.898014795,1
CUST_00044,23,300000,OWN,1,EDUCATION,F,24250,19.41,0,0.08,Y,2,Female,Single,Master,USA,California,Los Angeles,34.0522,-118.2437,Part-time,12,0.080833333,30304.00539,0.181846685,3,0.567247432,0
CUST_00045,26,300000,OWN,9,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,Male,Married,Master,USA,California,San Francisco,37.7749,-122.4194,Full-time,60,0.033333333,82483.87642,0.308279588,10,0.126388907,1
CUST_00046,26,300000,MORTGAGE,0,EDUCATION,D,25000,15.33,0,0.08,N,3,Female,Single,Bachelor,USA,Texas,Dallas,32.7767,-96.797,Full-time,24,0.083333333,80410.3068,0.351367689,14,0.35831513,0
CUST_00047,25,300000,MORTGAGE,9,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,Male,Single,Bachelor,UK,Wales,Cardiff,51.4816,-3.1791,Self-employed,12,0.06,56336.23987,0.247787466,8,0.925818016,1
CUST_00048,26,80690,RENT,8,PERSONAL,A,30000,7.49,1,0.37,N,3,Male,Divorced,High School,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,36,0.371793283,21629.75523,0.639853206,12,0.817919096,1
CUST_00049,22,66300,RENT,4,MEDICAL,B,30000,12.69,1,0.38,N,3,Female,Married,High School,USA,New York,New York City,40.7128,-74.006,Full-time,36,0.452488688,15791.82223,0.690676052,12,0.116220787,0
CUST_00050,26,89028,RENT,0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,Male,Single,High School,UK,England,Manchester,53.4808,-2.2426,Part-time,36,0.336972638,16421.42318,0.521424981,2,0.853945659,0
CUST_00051,24,78000,RENT,4,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4,Female,Single,Master,USA,Texas,Houston,29.7604,-95.3698,Full-time,24,0.384615385,12106.04904,0.539821142,7,0.523437659,0
CUST_00052,23,78000,RENT,7,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,Male,Married,High School,UK,Scotland,Edinburgh,55.9533,-3.1883,Full-time,24,0.384615385,9921.279468,0.511811275,7,0.478391975,0
CUST_00053,23,92004,RENT,6,PERSONAL,C,30000,15.23,1,0.33,Y,3,Female,Married,Bachelor,USA,Texas,Houston,29.7604,-95.3698,Full-time,12,0.326072779,19401.20153,0.536946236,5,0.422861728,1
CUST_00054,23,97000,RENT,7,VENTURE,B,30000,10.65,1,0.31,N,2,Female,Widowed,Bachelor,Canada,Quebec,Quebec City,46.8139,-71.208,Full-time,24,0.309278351,7328.235302,0.384827168,9,0.506018555,1
CUST_00055,25,120000,RENT,9,EDUCATION,A,30000,7.9,0,0.25,N,4,Female,Divorced,High School,Canada,Quebec,Montreal,45.5017,-73.5673,Full-time,36,0.25,15007.29465,0.375060789,11,0.890105598,0
CUST_00056,26,280000,RENT,4,PERSONAL,C,10000,15.96,0,0.04,Y,3,Male,Married,High School,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,36,0.035714286,41379.21436,0.183497194,2,0.775926903,1
CUST_00057,26,277104,RENT,0,VENTURE,B,20000,11.48,0,0.07,N,3,Male,Single,High School,UK,Wales,Swansea,51.6214,-3.9436,Full-time,60,0.072175068,77101.25171,0.350414471,7,0.105607586,0
CUST_00058,23,277000,OWN,3,PERSONAL,A,35000,,0,0.13,N,4,Male,Single,Bachelor,USA,New York,New York City,40.7128,-74.006,Full-time,36,0.126353791,73129.33064,0.390358594,4,0.454316438,0
CUST_00059,25,128000,RENT,9,PERSONAL,A,30000,7.29,0,0.23,N,4,Male,Single,PhD,USA,California,Los Angeles,34.0522,-118.2437,Part-time,36,0.234375,21438.41718,0.401862634,10,0.493797251,0
CUST_00060,24,12000,OWN,2,VENTURE,E,1750,,0,0.15,Y,3,Male,Single,Bachelor,USA,New York,Buffalo,42.8864,-78.8784,Self-employed,36,0.145833333,2467.213396,0.35143445,1,0.647043919,1
CUST_00061,21,131000,RENT,0,VENTURE,A,30000,5.99,0,0.23,N,4,Male,Divorced,High School,Canada,BC,Vancouver,49.2827,-123.1207,Full-time,12,0.229007634,34431.39022,0.491842673,7,0.505718166,1
CUST_00062,22,275000,OWN,6,VENTURE,B,12000,11.58,0,0.04,N,2,Female,Married,Bachelor,USA,California,Los Angeles,34.0522,-118.2437,Full-time,36,0.043636364,76162.28593,0.320590131,2,0.821000349,0
CUST_00063,26,263000,MORTGAGE,0,EDUCATION,B,10000,,1,0.04,N,4,Female,Single,Bachelor,UK,England,London,51.5074,-0.1278,Full-time,60,0.038022814,63598.54871,0.279842391,13,0.944370006,0
CUST_00064,25,221850,MORTGAGE,9,MEDICAL,D,25000,15.7,1,0.1,N,2,Male,Married,Bachelor,UK,England,London,51.5074,-0.1278,Full-time,60,0.112688754,57661.70226,0.372601768,9,0.793683265,1
CUST_00065,22,70000,RENT,6,EDUCATION,D,29100,15.99,1,0.42,N,3,Male,Divorced,High School,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,36,0.415714286,16840.4519,0.65629217,12,0.628787447,0
CUST_00066,22,12000,MORTGAGE,7,EDUCATION,D,1500,14.84,0,0.13,Y,3,Female,Married,High School,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,12,0.125,2503.484412,0.333623701,12,0.866312021,0
CUST_00067,26,260000,OWN,10,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,Female,Single,Bachelor,UK,Wales,Cardiff,51.4816,-3.1791,Full-time,36,0.107692308,61419.98456,0.343923018,15,0.424518894,0
CUST_00068,25,259000,MORTGAGE,9,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,Female,Divorced,Master,USA,California,San Francisco,37.7749,-122.4194,Full-time,24,0.077220077,31530.27497,0.198958591,8,0.269109912,1
CUST_00069,24,255000,MORTGAGE,9,EDUCATION,A,9600,6.99,0,0.04,N,2,Female,Married,High School,Canada,BC,Vancouver,49.2827,-123.1207,Self-employed,36,0.037647059,25386.74765,0.137202932,9,0.524549762,1
CUST_00070,25,250000,RENT,2,MEDICAL,C,25000,13.49,0,0.1,N,4,Female,Single,High School,UK,Wales,Swansea,51.6214,-3.9436,Full-time,36,0.1,62425.33877,0.349701355,8,0.345013493,0
CUST_00071,25,12000,OWN,0,MEDICAL,C,3000,,1,0.25,N,3,Male,Single,High School,UK,England,London,51.5074,-0.1278,Full-time,60,0.25,3485.808033,0.540484003,9,0.838548748,0
CUST_00072,22,56950,RENT,6,MEDICAL,A,28000,,1,0.49,N,2,Female,Widowed,High School,USA,California,Los Angeles,34.0522,-118.2437,Full-time,36,0.49165935,6052.191471,0.597931369,9,0.19137601,0
CUST_00073,21,12000,OWN,6,EDUCATION,C,3000,13.61,1,0.25,Y,3,Male,Married,High School,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,24,0.25,2298.199366,0.441516614,11,0.177370933,0
CUST_00074,23,65000,RENT,2,EDUCATION,A,28000,7.9,1,0.43,N,2,Female,Married,High School,Canada,BC,Vancouver,49.2827,-123.1207,Full-time,60,0.430769231,10103.29958,0.586204609,7,0.247147082,0
CUST_00075,26,85000,RENT,2,VENTURE,A,28000,7.49,1,0.33,N,3,Female,Single,High School,USA,New York,New York City,40.7128,-74.006,Part-time,36,0.329411765,13066.0284,0.483129746,7,0.161327604,1
CUST_00076,26,12000,OWN,2,EDUCATION,A,6100,7.51,1,0.51,N,3,Female,Single,High School,Canada,Quebec,Quebec City,46.8139,-71.208,Full-time,24,0.508333333,3205.238525,0.775436544,12,0.644089705,1
CUST_00077,22,88000,RENT,6,VENTURE,B,28000,9.91,1,0.32,N,3,Male,Single,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Part-time,36,0.318181818,25698.42088,0.610209328,13,0.676435268,0
CUST_00078,21,12000,OWN,0,PERSONAL,C,4200,13.48,1,0.35,Y,4,Female,Widowed,Bachelor,USA,Texas,Houston,29.7604,-95.3698,Part-time,36,0.35,871.4907128,0.422624226,9,0.260915236,0
CUST_00079,22,12000,OWN,6,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,Female,Single,PhD,UK,England,Manchester,53.4808,-2.2426,Full-time,24,0.395833333,2949.986911,0.641665576,5,0.296026428,1
CUST_00080,24,83004,RENT,0,VENTURE,D,28000,15.99,1,0.34,Y,4,Female,Single,High School,UK,Wales,Swansea,51.6214,-3.9436,Self-employed,36,0.337333141,8806.578368,0.443431381,9,0.730273462,1
CUST_00081,24,250000,RENT,2,EDUCATION,C,18000,12.98,0,0.07,Y,3,Female,Married,Bachelor,USA,California,San Francisco,37.7749,-122.4194,Unemployed,12,0.072,63732.34777,0.326929391,10,0.179653589,0
CUST_00082,44,250000,RENT,4,VENTURE,C,4800,13.57,0,0.02,N,3,Male,Married,High School,USA,New York,New York City,40.7128,-74.006,Full-time,24,0.0192,38659.41351,0.173837654,4,0.080766647,0
CUST_00083,25,100000,RENT,5,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,Female,Single,PhD,USA,New York,New York City,40.7128,-74.006,Self-employed,60,0.28,24412.2705,0.524122705,2,0.569122259,1
CUST_00084,26,110000,RENT,10,EDUCATION,A,28000,8.9,0,0.25,N,2,Female,Single,Bachelor,UK,England,Manchester,53.4808,-2.2426,Full-time,24,0.254545455,12920.32207,0.372002928,6,0.702639079,0
CUST_00085,26,12000,OWN,0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4,Female,Single,High School,UK,England,London,51.5074,-0.1278,Full-time,36,0.225,1439.148393,0.344929033,15,0.853664449,0
CUST_00086,22,108000,RENT,6,EDUCATION,B,28000,,1,0.26,N,4,Female,Married,High School,USA,Texas,Houston,29.7604,-95.3698,Unemployed,36,0.259259259,17926.54129,0.425245753,2,0.807400762,0
CUST_00087,23,151200,RENT,7,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,Female,Married,PhD,USA,New York,Buffalo,42.8864,-78.8784,Self-employed,36,0.185185185,27882.67861,0.369594435,11,0.93296243,2
CUST_00088,24,69000,RENT,2,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2,Female,Single,Master,USA,New York,New York City,40.7128,-74.006,Full-time,60,0.4,4108.318702,0.459540851,8,0.096545786,1
CUST_00089,21,12000,MORTGAGE,5,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,Male,Single,Master,UK,Wales,Cardiff,51.4816,-3.1791,Full-time,24,0.270833333,2049.713818,0.441642818,6,0.26543512,0
CUST_00090,22,70000,RENT,4,EDUCATION,C,27500,13.06,1,0.39,Y,3,Female,Single,Bachelor,Canada,Quebec,Montreal,45.5017,-73.5673,Unemployed,60,0.392857143,7489.146196,0.499844946,11,0.188640934,0
CUST_00091,22,240000,OWN,6,PERSONAL,B,25000,,0,0.1,N,2,Female,Married,Bachelor,USA,New York,New York City,40.7128,-74.006,Unemployed,60,0.104166667,48599.43535,0.306664314,11,0.527902153,0
CUST_00092,26,73200,RENT,5,VENTURE,D,27050,15.62,1,0.37,Y,2,Female,Divorced,High School,UK,Scotland,Edinburgh,55.9533,-3.1883,Full-time,24,0.369535519,7989.885746,0.478686964,9,0.855355729,1
CUST_00093,24,83000,RENT,5,PERSONAL,C,27000,13.49,1,0.33,Y,2,Female,Married,High School,Canada,Quebec,Quebec City,46.8139,-71.208,Full-time,36,0.325301205,11528.961,0.464204349,13,0.220760741,0
CUST_00094,24,73399,RENT,0,VENTURE,D,27000,,1,0.37,N,3,Female,Single,High School,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,36,0.367852423,18180.56448,0.615547412,1,0.69382208,0
CUST_00095,23,62500,RENT,7,MEDICAL,B,26000,11.71,1,0.42,N,2,Male,Married,High School,USA,Texas,Houston,29.7604,-95.3698,Self-employed,60,0.416,17684.97954,0.698959673,3,0.841183516,2
CUST_00096,23,120000,RENT,1,EDUCATION,B,25600,12.69,0,0.21,N,3,Male,Single,Bachelor,USA,New York,New York City,40.7128,-74.006,Full-time,36,0.213333333,16313.43484,0.349278624,3,0.59121767,0
CUST_00097,24,12360,OWN,2,MEDICAL,C,1600,13.57,0,0.13,N,3,Male,Single,Bachelor,UK,England,London,51.5074,-0.1278,Full-time,60,0.129449838,923.4728884,0.204164473,10,0.6658415,0
CUST_00098,22,60000,RENT,0,VENTURE,B,25475,10.99,1,0.42,N,3,Female,Single,High School,UK,England,Manchester,53.4808,-2.2426,Full-time,24,0.424583333,4281.544635,0.495942411,10,0.622104951,1
CUST_00099,25,234000,MORTGAGE,3,MEDICAL,C,20000,14.27,0,0.09,Y,4,Male,Widowed,Master,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,60,0.085470085,21441.53219,0.177100565,6,0.27474767,0
CUST_00100,24,234000,OWN,8,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,Male,Single,PhD,Canada,Ontario,Toronto,43.6532,-79.3832,Part-time,60,0.085470085,56080.33387,0.325129632,6,0.468948258,0
CUST_00101,26,234000,MORTGAGE,10,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,Female,Widowed,Master,Canada,Ontario,Toronto,43.6532,-79.3832,Unemployed,60,0.092307692,69031.67696,0.387314859,15,0.332656442,0
CUST_00102,25,221004,MORTGAGE,6,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,Male,Single,High School,USA,California,San Francisco,37.7749,-122.4194,Full-time,12,0.053845179,62965.50137,0.338751794,7,0.768184864,3
CUST_00103,26,232500,MORTGAGE,0,MEDICAL,C,25000,14.17,0,0.11,Y,2,Female,Married,High School,USA,New York,New York City,40.7128,-74.006,Full-time,24,0.107526882,68888.55332,0.403821735,13,0.090518905,2
CUST_00104,25,230000,MORTGAGE,5,MEDICAL,C,35000,13.99,0,0.15,N,4,Male,Married,Master,USA,New York,New York City,40.7128,-74.006,Full-time,60,0.152173913,18829.75145,0.234042398,7,0.207478605,1
CUST_00105,23,83000,RENT,7,EDUCATION,B,25300,10.99,1,0.3,N,3,Male,Married,Bachelor,Canada,BC,Vancouver,49.2827,-123.1207,Full-time,36,0.304819277,11290.76697,0.440852614,6,0.703987809,0
CUST_00106,22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,N,4,Male,Single,High School,Canada,BC,Victoria,48.4284,-123.3656,Full-time,60,0.158730159,674.8497759,0.212289665,10,0.666095292,0
CUST_00107,25,12600,OWN,3,PERSONAL,C,1750,13.61,0,0.14,N,3,Male,Divorced,High School,UK,Wales,Swansea,51.6214,-3.9436,Self-employed,36,0.138888889,1508.979545,0.25864917,8,0.148197682,1
CUST_00108,21,42500,RENT,3,EDUCATION,C,25000,12.73,1,0.59,Y,3,Male,Single,Master,USA,Texas,Dallas,32.7767,-96.797,Part-time,60,0.588235294,9043.660955,0.801027317,14,0.69098329,1
CUST_00109,24,41000,RENT,2,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3,Male,Single,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Part-time,36,0.609756098,4384.243816,0.716688874,14,0.239983885,0
CUST_00110,25,12816,OWN,0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,Female,Widowed,Bachelor,Canada,Quebec,Montreal,45.5017,-73.5673,Full-time,36,0.234082397,818.8823502,0.297977711,3,0.144108476,0
CUST_00111,24,12960,MORTGAGE,1,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,Male,Married,Master,Canada,BC,Victoria,48.4284,-123.3656,Full-time,36,0.281635802,830.3665388,0.345707295,13,0.296739475,0
CUST_00112,26,226000,MORTGAGE,4,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,Female,Married,Master,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,60,0.088495575,64040.38999,0.371860133,4,0.789688293,1
CUST_00113,25,225000,MORTGAGE,0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,Female,Widowed,Bachelor,Canada,BC,Victoria,48.4284,-123.3656,Full-time,36,0.133333333,22267.63138,0.232300584,12,0.225898514,0
CUST_00114,26,213000,MORTGAGE,6,EDUCATION,B,35000,10.65,1,0.16,N,2,Male,Widowed,Master,Canada,Ontario,Ottawa,45.4215,-75.6972,Full-time,36,0.164319249,55799.2302,0.426287466,2,0.392540881,0
CUST_00115,24,225000,RENT,0,MEDICAL,B,6000,,0,0.03,N,4,Male,Married,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Full-time,36,0.026666667,63994.91882,0.311088528,15,0.467671076,0
CUST_00116,24,12960,MORTGAGE,0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,Female,Widowed,High School,UK,Scotland,Glasgow,55.8642,-4.2518,Full-time,36,0.347222222,2172.270239,0.514835667,6,0.656925338,0
CUST_00117,23,12996,OWN,0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,Female,Single,High School,Canada,Ontario,Toronto,43.6532,-79.3832,Part-time,24,0.184672207,1613.95424,0.308860745,5,0.685878231,0
CUST_00118,22,42000,RENT,6,MEDICAL,D,25000,14.59,1,0.6,Y,2,Female,Single,Bachelor,UK,Scotland,Glasgow,55.8642,-4.2518,Part-time,60,0.595238095,2764.937898,0.66106995,13,0.74026169,1
